Year,State,wsc_total,wsc_reports,wsc_reports_with_findings,wsc_reports_ontime,wsc_reports_ext_timelines,wsc_pending,wsc_pending_due_proc,wsc_withdrawn,med_total,med_held,med_from_due_proc,med_agreed_from_due_proc,med_not_from_due_proc,med_agreed_not_from_due_proc,med_pending,med_withdrawn,dpc_total,dpc_resolutions,dpc_resolutions_settlements,dpc_adjudicated,dpc_decisions_ontime,dpc_decisions_ext_timeline,dpc_pending,dpc_withdrawn,edpc_total,edpc_resolutions,edpc_resolutions_settlements,edpc_adjudicated,edpc_placement_changes,edpc_pending,edpc_withdrawn
2014-2015,alabama,7,5,4,4,1,0,0,2,107,44,27,21,17,14,12,51,173,91,17,3,0,3,37,133,1,1,1,0,0,0,1
2014-2015,alaska,10,10,5,7,3,0,0,0,10,9,0,0,9,8,0,1,5,3,3,0,0,0,0,5,0,0,0,0,0,0,0
2014-2015,american samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,arizona,80,52,36,52,0,0,0,28,61,35,10,5,25,17,9,17,51,21,11,4,0,4,5,42,2,1,0,0,0,0,2
2014-2015,arkansas,19,9,9,9,0,0,0,10,9,5,0,0,5,5,1,3,29,29,1,4,4,0,4,21,2,2,1,0,0,0,2
2014-2015,bureau of indian education,11,9,9,0,0,0,0,2,2,2,2,2,0,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0
2014-2015,california,988,708,385,707,1,0,0,280,3862,2186,2031,1282,155,88,510,1166,3714,570,172,83,10,72,893,2738,64,7,5,6,1,14,44
2014-2015,colorado,18,12,7,9,3,1,1,5,60,35,16,9,19,12,5,20,36,6,5,4,1,3,12,20,2,1,1,0,0,0,2
2014-2015,connecticut,196,80,52,57,3,15,6,101,360,265,90,59,175,123,51,44,250,64,32,2,0,2,74,174,6,2,1,0,0,0,6
2014-2015,delaware,7,3,2,3,0,0,0,4,14,11,3,2,8,8,2,1,19,4,1,0,0,0,0,19,2,0,0,0,0,0,2
2014-2015,district of columbia,25,17,14,11,6,0,0,8,29,17,6,5,11,6,1,11,457,370,0,138,93,45,45,274,26,22,0,9,0,2,15
2014-2015,federated states of micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,florida,182,82,58,61,21,7,2,93,86,54,21,9,33,21,2,30,195,68,48,6,2,4,34,155,9,3,2,0,0,0,9
2014-2015,georgia,120,88,30,88,0,0,0,32,74,56,13,4,43,30,0,18,101,62,39,4,0,4,16,81,6,3,2,0,0,0,6
2014-2015,guam,10,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,5,0,0,0,0,6,0,0,0,0,0,0,0
2014-2015,hawaii,12,8,0,8,0,0,0,4,3,2,2,0,0,0,1,0,70,54,28,11,1,10,11,48,1,1,0,1,0,0,0
2014-2015,idaho,27,18,16,17,1,0,0,9,21,14,1,1,13,13,0,7,9,8,0,4,2,2,0,5,1,0,0,0,0,0,1
